Microalga,Enzima,EC,Açúcar alvo
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sacarose
Monoraphidium neglectum,beta-D-galactosidase,3.2.1.23,lactose
Monoraphidium neglectum,fructokinase,2.7.1.4,frutose
Auxenochlorella protothecoides,Beta-galactosidase,3.2.1.23,lactose
Auxenochlorella protothecoides,Beta-fructofuranosidase,3.2.1.26,sacarose
Auxenochlorella protothecoides,Lactase-phlorizin hydrolase,3.2.1.62,lactose
Auxenochlorella protothecoides,Fructokinase,2.7.1.4,frutose
Coccomyxa subellipsoidea C-169,Arabinanase/levansucrase/invertase,3.2.1.26,sacarose
Bathycoccus prasinos,beta-galactosidase,3.2.1.23,lactose
Bathycoccus prasinos,fructokinase,2.7.1.4,frutose
Galdieria sulphuraria,beta-galactosidase,3.2.1.23,lactose
Galdieria sulphuraria,fructokinase,2.7.1.4,frutose
Phaeodactylum tricornutum CCAP 1055/1,beta-galactosidase,3.2.1.23,lactose
Cyanidioschyzon merolae strain 10D,fructokinase,2.7.1.4,frutose
Thalassiosira pseudonana CCMP1335,fructokinase,2.7.1.4,frutose
